ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
70D48D03508236AF20B50C236116CF19,70D48D03508236AFE70FEDD86F8C9D15,2020-07-07 00:00:00,001,颗粒物,1.65,20,通讯中断,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:33.167,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AFE70FEDD86F8C9D15,2020-07-07 00:00:00,002,二氧化硫,8.36,80,通讯中断,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:33.167,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AFE70FEDD86F8C9D15,2020-07-07 00:00:00,003,氮氧化物,133.94,250,通讯中断,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:33.167,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AFE70FEDD86F8C9D15,2020-07-07 00:00:00,004,一氧化碳,0.1,80,通讯中断,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:33.167,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AFE70FEDD86F8C9D15,2020-07-07 00:00:00,008,氯化氢,5.61,50,通讯中断,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:33.167,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AF46530FE67182A645,2020-07-07 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:24.89,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AF46530FE67182A645,2020-07-07 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:24.89,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AF46530FE67182A645,2020-07-07 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:24.89,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AF46530FE67182A645,2020-07-07 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:24.89,20200707
70D48D03508236AF20B50C236116CF19,70D48D03508236AF46530FE67182A645,2020-07-07 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2020-07-08T09:22:24.89,2020-07-08T09:22:24.89,20200707
