ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2386445DBB06212CA,2020-07-11 00:00:00,001,颗粒物,9.4,20,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2386445DBB06212CA,2020-07-11 00:00:00,002,二氧化硫,12.11,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2386445DBB06212CA,2020-07-11 00:00:00,003,氮氧化物,159.55,250,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2386445DBB06212CA,2020-07-11 00:00:00,004,一氧化碳,5.41,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2386445DBB06212CA,2020-07-11 00:00:00,008,氯化氢,3.65,50,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D23840B5F992CD9866,2020-07-11 00:00:00,001,颗粒物,9.33,20,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D23840B5F992CD9866,2020-07-11 00:00:00,002,二氧化硫,8.58,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D23840B5F992CD9866,2020-07-11 00:00:00,003,氮氧化物,157.44,250,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D23840B5F992CD9866,2020-07-11 00:00:00,004,一氧化碳,3.17,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D23840B5F992CD9866,2020-07-11 00:00:00,008,氯化氢,6.12,50,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:23.337,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2438D2F7FE63C005C,2020-07-11 00:00:00,001,颗粒物,,20,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:17.883,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2438D2F7FE63C005C,2020-07-11 00:00:00,002,二氧化硫,,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:17.883,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2438D2F7FE63C005C,2020-07-11 00:00:00,003,氮氧化物,,250,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:17.883,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2438D2F7FE63C005C,2020-07-11 00:00:00,004,一氧化碳,,80,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:17.883,20200711
6968EB865B4628D2F42D8ADFB8480670,6968EB865B4628D2438D2F7FE63C005C,2020-07-11 00:00:00,008,氯化氢,,50,,0,0,2020-07-12T09:23:17.883,2020-07-12T09:23:17.883,20200711
